Sire,foal_count,total_sales,median_price,variance_sales,gini_coef,years_active,avg_price,foals_per_year
Musketier (GER),6,14200,1350.0,2768.874620972692,0.431924882629108,3,2366.6666666666665,2.0
Myboycharlie (IRE),1,20000,20000.0,,0.0,1,20000.0,1.0
New Year's Day,5,102700,4500.0,23420.24765027048,0.5172346640701071,1,20540.0,5.0
Niagara Causeway,1,4000,4000.0,,0.0,1,4000.0,1.0
No Nay Never,31,6760000,190000.0,119691.80854284918,0.30583126550868484,6,218064.51612903227,5.166666666666667
Noble Mission (GB),49,1740500,20000.0,42381.93885957318,0.5487046297979117,5,35520.4081632653,9.8
Normandy Invasion,3,5500,1500.0,577.3502691896257,0.12121212121212126,3,1833.3333333333333,1.0
Northern Afleet,3,21000,2500.0,8674.675786448735,0.4920634920634921,3,7000.0,1.0
Not Bourbon,8,44900,2500.0,6778.41901078078,0.513641425389755,3,5612.5,2.6666666666666665
Not This Time,236,55565700,172500.0,239752.35582398737,0.5087075803348139,6,235447.88135593222,39.333333333333336
Notional,2,18000,9000.0,707.1067811865476,0.02777777777777768,2,9000.0,1.0
Nyquist,238,52053000,160000.0,195990.21541707998,0.44343079863494006,6,218710.08403361344,39.666666666666664
Oasis Dream (GB),1,50000,50000.0,,0.0,1,50000.0,1.0
Om,1,90000,90000.0,,0.0,1,90000.0,1.0
Omaha Beach,165,26087000,105000.0,161503.74247126502,0.48286026593996084,3,158103.0303030303,55.0
Optimizer,12,248600,4000.0,53594.19631627924,0.7888844194153929,4,20716.666666666668,3.0
Orb,79,3028700,29000.0,40330.233946810666,0.5112800620895542,5,38337.9746835443,15.8
Oscar Performance,73,4758000,35000.0,74021.12920304007,0.5426678643611049,4,65178.08219178082,18.25
Outstrip (GB),1,4000,4000.0,,0.0,1,4000.0,1.0
Outwork,94,4803000,23000.0,63458.49022548168,0.5651498841592798,6,51095.744680851065,15.666666666666666
Overanalyze,38,493900,8250.0,13278.787938055213,0.49583337773467884,4,12997.368421052632,9.5
Oxbow,73,620000,4000.0,21617.009305734246,0.6259257622624834,4,8493.150684931506,18.25
Palace,24,857500,23000.0,38991.63209187846,0.5105685131195336,5,35729.166666666664,4.8
Palace Malice,101,5425500,25000.0,64622.99961474956,0.5657844191939239,5,53717.82178217822,20.2
Paynter,50,1538300,20000.0,35140.955871914426,0.5459390235974777,7,30766.0,7.142857142857143
Perfect Soul (IRE),6,72700,14000.0,6403.25438091184,0.26249426868408987,3,12116.666666666666,2.0
Perfect Timber,1,10000,10000.0,,0.0,1,10000.0,1.0
Persian King (IRE),1,75000,75000.0,,0.0,1,75000.0,1.0
Pinatubo (IRE),1,300000,300000.0,,0.0,1,300000.0,1.0
Pioneerof the Nile,127,36959000,250000.0,281270.33215401735,0.45647603121824926,4,291015.74803149607,31.75
Point of Entry,47,1911200,20000.0,54437.72439391446,0.5834053240472734,6,40663.82978723404,7.833333333333333
Power Broker,2,11200,5600.0,1272.7922061357856,0.0803571428571428,2,5600.0,1.0
Practical Joke,225,32942000,105000.0,137843.50569936933,0.4506077348066298,5,146408.88888888888,45.0
Preservationist,40,1797500,20000.0,70408.44095484795,0.630827538247566,3,44937.5,13.333333333333334
Producer (GB),6,34900,3000.0,7053.060801288096,0.4818529130850047,3,5816.666666666667,2.0
Promises Fulfilled,11,549000,17000.0,59575.92558316579,0.5537340619307832,2,49909.09090909091,5.5
Protonico,8,424000,32000.0,45866.26522526426,0.4363207547169812,3,53000.0,2.6666666666666665
Proud Citizen,4,88200,28500.0,13971.757226634021,0.2534013605442177,1,22050.0,4.0
Quality Road,264,101715000,325000.0,313776.58912484307,0.4067705144648074,7,385284.0909090909,37.714285714285715
Qurbaan,3,51500,12500.0,16018.218794027423,0.401294498381877,2,17166.666666666668,1.5
Race Day,32,914200,13500.0,29337.517953593473,0.49735424414788887,5,28568.75,6.4
Raging Bull (FR),13,870000,26000.0,110967.3086532407,0.6281167108753316,1,66923.07692307692,13.0
Raison d'Etat,42,117100,2200.0,2553.543915285939,0.38312797364889595,3,2788.095238095238,14.0
Ransom the Moon,16,553000,20000.0,34319.515827975585,0.5067811934900542,4,34562.5,4.0
Ready's Image,1,1200,1200.0,,0.0,1,1200.0,1.0
Real Solution,9,81000,5000.0,8440.971508067067,0.40329218106995884,4,9000.0,2.25
Red Rocks (IRE),7,27200,2500.0,3213.21675346714,0.3897058823529411,2,3885.714285714286,3.5
Revolutionary,10,158000,9500.0,23924.0464804765,0.6124050632911392,3,15800.0,3.3333333333333335
Rock Your World,33,1119500,20000.0,41405.412012675275,0.5221757548689214,1,33924.242424242424,33.0
Roman Candle (GB),1,8000,8000.0,,0.0,1,8000.0,1.0
Rowayton,2,120000,60000.0,70710.67811865476,0.41666666666666674,2,60000.0,1.0
Run Away and Hide,7,263000,30000.0,38291.02219779959,0.5089625203693645,3,37571.42857142857,2.3333333333333335
Runhappy,159,15180500,50000.0,125287.16127692234,0.604101297613891,6,95474.8427672956,26.5
Sea The Moon (GER),1,4500,4500.0,,0.0,1,4500.0,1.0
Secret Circle,12,475700,19500.0,58161.56897867015,0.6360976806110293,3,39641.666666666664,4.0
Seek Again,1,20000,20000.0,,0.0,1,20000.0,1.0
Seeking the Soul,9,52500,4500.0,4168.333000133267,0.308994708994709,2,5833.333333333333,4.5
Shackleford,55,2802000,27000.0,61131.13354270055,0.552793459217442,4,50945.454545454544,13.75
Shakin It Up,8,90900,10500.0,9254.17859286125,0.4278052805280528,2,11362.5,4.0
