,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,filename,sale_year
12553,10,3372,"Mill Ridge Sales, Agent ",,Perfect Honor,,DB/BR,Colt,Perfect Honor,Honor Code,Hasiti,,,,,Daniel Silva,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12554,10,3373,"Small Batch Sales, Agent for Malibu Farm ",,Travesuras,,DB/BR,Colt,Travesuras,Hit It a Bomb,Heart's Song,,,,,P B Bloodstock,50000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12555,10,3374,"Buckland Sales (Zach Madden), Agent XX ",,Blue Hellene,,B,Filly,Blue Hellene,Big Blue Kitten,Hellenistic,,,,,Kathy Doth,7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12556,10,3375,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Anippe,,B,Filly,Anippe,Cairo Prince,Hello Dearie,,,,,"RJG Racing Management, LLC",9000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12558,10,3377,Ramsey Farm ,,Beach Kitten,,GR/RO,Filly,Beach Kitten,Creative Cause,High Wire Kitten,,,,,Mark Adams,5000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12559,10,3378,"Vinery Sales, Agent XI ",,Tinas Shining Star,,DB/BR,Filly,Tinas Shining Star,Exaggerator,Holiday Moon,,,,,Anthony Pecoraro,5000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12561,10,3380,"Taylor Made Sales Agency, Agent CLXXII ",,Belle Rebelle,,DB/BR,Filly,Belle Rebelle,Upstart,Iboughtheranyway,,,,,Arturo Gonzalez,22000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12563,10,3382,"Paramount Sales, Agent LXII ",,Prince Samurai,,CH,Colt,Prince Samurai,First Samurai,In a Cloud,,,,,Roberto Ortiz de Paz,17000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12565,10,3384,Hinkle Farms ,,Sir Rex,,B,Colt,Sir Rex,Kantharos,Include the Aussie,,,,,Adalberto Lorano,47000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12566,10,3385,"Four Star Sales, Agent ",,Barsabas,,DB/BR,Colt,Barsabas,Tale of the Cat,Indy's Million,,,,,Chris Drakos,22000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12567,10,3386,"Small Batch Sales, Agent V ",,Erudite,,CH,Colt,Erudite,Exaggerator,Inveniam Viam,,,,,Kazakov,12000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12568,10,3387,"Cross Keys Sales LLC, Agent II ",,Uranium,,B,Colt,Uranium,Unified,Iridium,,,,,Erick Aquino,22000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12570,10,3389,"Indian Creek, Agent ",,Freedom Flash,,CH,Colt,Freedom Flash,American Freedom,J P's Flashy Honey,,,,,"Shooting Star Sales LLC, Agent",18000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12572,10,3391,"Shawhan Place LLC, Agent for Ascot Thoroughbreds ",,Twokidsfromdabronx,,B,Colt,Twokidsfromdabronx,Cupid,Just Joking,,,,,"Larry Zap, Agent for Mike Mellen",200000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12574,10,3393,"Mill Ridge Sales, Agent ",,Mymomentintime,,B,Colt,Mymomentintime,Kantharos,Karida,,,,,Donal Keane (Michael Deere),7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12576,10,3395,Ramsey Farm ,,Down to Bizzness,,DB/BR,Colt,Down to Bizzness,Fed Biz,Katura,,,,,Edy  Gonzalez,3500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12581,10,3400,Brandywine Farm (Jim & Pam Robinson) ,,Orange County,,CH,Colt,Orange County,Tonalist,Lady Ambassador,,,,,Bryan Ford,18000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12583,10,3402,"Four Star Sales, Agent ",,Time Goes Fast,,CH,Filly,Time Goes Fast,Jimmy Creed,Legendary Stacey,,,,,A G Chaudry,57000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12584,10,3403,"Taylor Made Sales Agency, Agent CCXV ",,Keeping It Country,,B,Colt,Keeping It Country,Freud,Lemon Drop's Love,,,,,Double O Racing / Haddin Towell,29000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12585,10,3404,"Buckland Sales (Zach Madden), Agent VI ",,Anchor Down --- Lemon Secretary,,GR/RO,Colt,,Anchor Down,Lemon Secretary,,,,,Q R F,10000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12587,10,3406,"Small Batch Sales, Agent VIII ",,Butterbean,,CH,Filly,Butterbean,Klimt,Letting Go,,,,,"Kenneth McPeek, Agent",22000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12588,10,3407,"St George Sales, Agent XXXIII ",,Ready Rita,,DB/BR,Filly,Ready Rita,More Than Ready,Libbyris,,,,,Travis Murphy,8000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12589,10,3408,"South Point Sales Agency, Agent IV ",,Sister Zip,,DB/BR,Filly,Sister Zip,Majestic City,Lil Miss Sapphire,,,,,George Conkwright,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12592,10,3411,"South Point Sales Agency, Agent XI ",,Tyler's Dream,,B,Filly,Tyler's Dream,Carpe Diem,Lisa's Dream,,,,,Greg Green,9500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12593,10,3412,"Cross Keys Sales LLC, Agent I ",,Rokke Krid,,B,Colt,Rokke Krid,Shackleford,Live Oaks Legacy,,,,,Kinga Farm,16000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12594,10,3413,"Four Star Sales, Agent ",,Classic Rewind,,CH,Filly,Classic Rewind,Classic Empire,Lookin for Money,,,,,"Nick J. Hines, Agent",26000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12595,10,3414,Calumet Farm ,,Jams Top Shelf,,GR/RO,Filly,Jams Top Shelf,Cairo Prince,Lorna's Tapit,,,,,Matt Baldwin,9000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12596,10,3415,"South Point Sales Agency, Agent XLII ",,Mangata Mist,,B,Filly,Mangata Mist,Overanalyze,Love My Life,,,,,"Bob Cappelletti, Agent",27000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12598,10,3417,"Taylor Made Sales Agency, Agent CCXVIII ",,Will Or Won't,,CH,Filly,Will Or Won't,Will Take Charge,Love This Kitty,,,,,Steve Jackson,10000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12601,10,3420,"Ballysax Bloodstock, Agent XI ",,Lookin to Excel,,B,Colt,Lookin to Excel,Lookin At Lucky,Macaabra (IRE),,,,,"Jason Hall, Agent",3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12603,10,3422,Calumet Farm ,,Kearney,,DB/BR,Colt,Kearney,Bal a Bali (BRZ),Madam de Chevreuse,,,,,"New Hope AB, LLC",6000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12606,10,3425,"Woodford Thoroughbreds, Agent XIII ",,O Captain,,CH,Colt,O Captain,Carpe Diem,Mama Nadine,,,,,GDS Racing Stable,17000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12607,10,3426,"Paramount Sales, Agent III ",,Star Action,,DB/BR,Colt,Star Action,Upstart,Mammal of Action,,,,,Martha Catalina Hernandez,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12608,10,3427,"South Point Sales Agency, Agent XLVII ",,Danny Zuko,,DB/BR,Colt,Danny Zuko,Lea,Many Waters,,,,,Chris Randall,12000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12610,10,3429,"Mill Ridge Sales, Agent ",,Maya Prince,,B,Colt,Maya Prince,Astern (AUS),Maya Princess,,,,,George's Pleasure,25000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12612,10,3431,"Taylor Made Sales Agency, Agent CXXVIII ",,Belle Isle,,B,Filly,Belle Isle,Mineshaft,Midnight Toast,,,,,Salt River Holdings Inc.,4000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12614,10,3433,"Paramount Sales, Agent XCII ",,Alwabel,,CH,Colt,Alwabel,Exaggerator,Miss Larkspur,,,,,HTC / Voric Stables,40000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12615,10,3434,"South Point Sales Agency, Agent LXII ",,Kapanina,,B,Filly,Kapanina,Tonalist,Miss Luter,,,,,Navas Equine,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12616,10,3435,"Taylor Made Sales Agency, Agent LXXVI ",,Flourishing,,CH,Filly,Flourishing,California Chrome,Miss May,,,,,Felix Fuentes,9500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12617,10,3436,"Taylor Made Sales Agency, Agent CCXVIII ",,Rainbow Danny,,CH,Colt,Rainbow Danny,Will Take Charge,Miss Sixty (ARG),,,,,"Dante Zanelli, Agent for Dona Licha Stables",27000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12619,10,3438,"Ballysax Bloodstock, Agent for Forever Spring Farm LLC ",,Myfavoritedaughter,,DB/BR,Filly,Myfavoritedaughter,Carpe Diem,Momma's Favorite,,,,,Jose Andies Gaspar,9000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12621,10,3440,Hinkle Farms ,,Media Luna,,B,Filly,Media Luna,Lea,Moon Dreamer,,,,,Ruben Valdez,12000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12623,10,3442,"Brookdale Sales, Agent for Hardacre Farm LLC ",,Tindari,,B,Filly,Tindari,Tiznow,Moon Over Matter,,,,,GDS Racing Stable,16000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12624,10,3443,"Cross Keys Sales LLC, Agent VI ",,Save the Flag,,DB/BR,Filly,Save the Flag,Super Saver,Most Inspiring,,,,,"Bryhan Cruz, Agent for Andrea Stables",12000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12625,10,3444,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Good Trouble,,B,Filly,Good Trouble,American Freedom,My Indian,,,,,Marquee Bloodstock,30000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12627,10,3446,"Indian Creek, Agent ",,Juan Dones,,B,Colt,Juan Dones,Dialed In,Natetwa,,,,,Ramon Morales,8000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12628,10,3447,"South Point Sales Agency, Agent XI ",,Triton's Creed,,CH,Colt,Triton's Creed,Jimmy Creed,Nautical N,,,,,Cool Hill Farm,27000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12630,10,3449,"Woodford Thoroughbreds, Agent LIV ",,Indy Music,,B,Filly,Indy Music,Maclean's Music,Newsreel (IRE),,,,,Dr. Robert and Patrice Roth,8000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12632,10,3451,"St George Sales, Agent XXVII ",,God of Love,,CH,Colt,God of Love,Cupid,No Wonder,,,,,Jacobo Ordonez,9000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12633,10,3452,Brandywine Farm (Jim & Pam Robinson) ,,Julybella,,B,Filly,Julybella,Klimt,October Tempest,,,,,Jorge Luis Gonzalez,7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12634,10,3453,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Surf Spa,,GR/RO,Filly,Surf Spa,Creative Cause,Ormolu Lu,,,,,30 - 30 Ranch,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12636,10,3455,"Paramount Sales, Agent XXIII ",,Dude and Jumper,,DB/BR,Colt,Dude and Jumper,Tonalist,Our First Girl,,,,,C. B. Stables / James Hunt,2000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12637,10,3456,Calumet Farm ,,Bali Bali,,CH,Filly,Bali Bali,Bal a Bali (BRZ),Our Republic,,,,,Martha Catalina Hernandez,2000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12638,10,3457,"South Point Sales Agency, Agent III ",,Storm P,,GR/RO,Colt,Storm P,Tapiture,Paradise Now,,,,,Marco Rivera,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12641,10,3460,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Amazing Mskitty,,CH,Filly,Amazing Mskitty,Include,Patricia's Kitten,,,,,Jupiter Farm,6000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12642,10,3461,"Buckland Sales (Zach Madden), Agent XVII ",,Pink Air,,CH,Filly,Pink Air,Majestic City,Patricias Prospect,,,,,Black Stone Farm,12000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12645,10,3464,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,American Prophecy,,B,Filly,American Prophecy,American Freedom,Perfect Prediction,,,,,Kevin B & Patricia M Fontenot,8500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12647,10,3466,"Paramount Sales, Agent CIII ",,Her Greatness,,DB/BR,Filly,Her Greatness,Liam's Map,Pleasant Mine,,,,,H M A Equine,13000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12648,10,3467,"Stone Farm, Agent ",,Im Your Papi,,B,Colt,Im Your Papi,Super Saver,Ponder Lea,,,,,Amador Sanchez,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12649,10,3468,"Paramount Sales, Agent XII ",,Puglia,,B,Filly,Puglia,Upstart,Pret,,,,,Lizzy Bloodstock,42000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12650,10,3469,"Nicky Drion Thoroughbreds, Agent ",,Miss Chamita,,B,Filly,Miss Chamita,Keen Ice,Princess Susan M,,,,,Hablan Los Caballos LLC,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12651,10,3470,"James B. Keogh (Grovendale), Agent XXX ",,U U Star,,CH,Colt,U U Star,Carpe Diem,Project Rose,,,,,"Ortiz Training Stables, LLC",10000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12652,10,3471,"Vinery Sales, Agent LXXII ",,Cyclone,,GR/RO,Colt,Cyclone,Point of Entry,Promise Me Silver,,,,,Carl L. Moore Management LLC,67000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12653,10,3472,"Paramount Sales, Agent CVIII ",,Sax,,CH,Filly,Sax,Jimmy Creed,Psychic Elaine,,,,,Greenwich Equine,7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12654,10,3473,"Kaizen Sales (Richard Kent), Agent V ",,Laura's Charm,,B,Filly,Laura's Charm,Mshawish,Qualkris,,,,,Daniel Thomas Churilla,20000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12655,10,3474,"South Point Sales Agency, Agent LXIII ",,Mia Tosca,,CH,Filly,Mia Tosca,Animal Kingdom,Queen Scheherazade,,,,,Pewter Stable,5000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12656,10,3475,"Ballysax Bloodstock, Agent XX ",,Kings Gambit,,CH,Colt,Kings Gambit,Cupid,Queens Peg,,,,,"J. Brocklebank, Agent",40000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12657,10,3476,"Mill Ridge Sales, Agent ",,Lord Gatling,,B,Colt,Lord Gatling,Noble Mission (GB),Quickfire (GB),,,,,Alistair Roden Bloodstock,25000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12659,10,3478,Brandywine Farm (Jim & Pam Robinson) ,,Meataball,,DB/BR,Colt,Meataball,Super Saver,Rapid Decision,,,,,James DiVito,9000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12660,10,3479,"Ballysax Bloodstock, Agent XX ",,St. Lukes,,B,Colt,St. Lukes,Tapiture,Really Charming,,,,,"Sean S. Perl Bloodstock, LLC",22000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12661,10,3480,"Four Star Sales, Agent ",,Novelera,,B,Filly,Novelera,Animal Kingdom,Rebooted,,,,,Felix Fuentes,6000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12662,10,3481,"Kaizen Sales (Richard Kent), Agent II ",,Spanish Idol,,B,Filly,Spanish Idol,Blame,Regal Conqueror,,,,,Jeff L. Ganje,30000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12665,10,3484,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Mi Casa Es Su Casa,,B,Filly,Mi Casa Es Su Casa,Include,Returning Home,,,,,Paul Magee,4000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12666,10,3485,Ramsey Farm ,,Just Call Ray,,GR/RO,Colt,Just Call Ray,Mohaymen,Rock Hard Cat,,,,,4 ES,17000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12668,10,3487,"St George Sales, Agent XVII ",,Overly Fast,,B,Colt,Overly Fast,Overanalyze,Roman Bluff,,,,,"Tom Wenzel, Agent",15000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12670,10,3489,"South Point Sales Agency, Agent LXI ",,Lucy Jane,,CH,Filly,Lucy Jane,Speightster,Rosangela,,,,,"J. Brocklebank, Agent",55000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12671,10,3490,"Paramount Sales, Agent CVIII ",,Immaculate Glory,,B,Filly,Immaculate Glory,Outwork,Royal G G,,,,,"D. Miller/Star of North,Agt for Zimmer Ridge Ranch",30000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12673,10,3492,"Cross Keys Sales LLC, Agent I ",,Classic Intention,,B,Colt,Classic Intention,Mr Speaker,Rumari,,,,,"Raymie Lightner, Agent for Craig Drago",25000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12674,10,3493,"Mill Ridge Sales, Agent ",,Simvol Race,,CH,Colt,Simvol Race,Will Take Charge,Russian Symbol (IRE),,,,,Kinga Farm,10000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12675,10,3494,"Taylor Made Sales Agency, Agent CCXVIII ",,Silent Power,,B,Colt,Silent Power,Strong Mandate,Rutledge Ballado,,,,,"Scott Gelner, Agent",30000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12676,10,3495,Stone Farm ,,Relativlea,,B,Colt,Relativlea,Lea,Saintly Sister,,,,,Silverton Hill,8000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12677,10,3496,"St George Sales, Agent XIII ",,Cha,,B,Filly,Cha,Mohaymen,Saraama,,,,,Wesley Ward,45000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12678,10,3497,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Campechano,,B,Colt,Campechano,Creative Cause,Saramar,,,,,Edy  Gonzalez,3500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12679,10,3498,"Cross Keys Sales LLC, Agent VIII ",,Lil Boss,,CH,Filly,Lil Boss,Street Boss,Sara's Cape,,,,,"M. Hemingway, Agent",7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12680,10,3499,"Four Star Sales, Agent for Spendthrift Farm LLC ",,Playboy Roy,,B,Colt,Playboy Roy,Brody's Cause,Scorpio Queen (AUS),,,,,Chris Melton,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12681,10,3500,"Hidden Brook, Agent XXXVII ",,Western Point,,B,Colt,Western Point,Point of Entry,Secret Action,,,,,"Oracle Bloodstock, Agent",41000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12683,10,3502,Brandywine Farm (Jim & Pam Robinson) ,,Not This Time --- Senseu'vbeengone,,B,Colt,,Not This Time,Senseu'vbeengone,,,,,"Meah/Lloyd Bloodstock, Agt. for Rodolpo Mendoza",35000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12686,10,3505,"Taylor Made Sales Agency, Agent XXXVIII ",,She Loves Winnin,,B,Filly,She Loves Winnin,Mineshaft,She Loves Runnin',,,,,Greg Tracy,17000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12687,10,3506,Shawhan Place LLC ,,Perviy Imperator,,B,Colt,Perviy Imperator,Outwork,She's Grumpy,,,,,Black Stone Farm,10500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12688,10,3507,"St George Sales, Agent XXI ",,Creative Magic,,B,Colt,Creative Magic,Creative Cause,Shes Trickey,,,,,30 - 30 Ranch,4000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12689,10,3508,"Taylor Made Sales Agency, Agent CLXV ",,Tenacidad,,CH,Filly,Tenacidad,Klimt,Shezaghostslayer,,,,,Navas Equine,20000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12691,10,3510,"Paramount Sales, Agent LXXV ",,Malibu Lagoon,,CH,Colt,Malibu Lagoon,Gormley,Silent Fright,,,,,Donal Keane for Michael Cleere,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12692,10,3511,"Paramount Sales, Agent III ",,Silent Tap,,GR/RO,Colt,Silent Tap,Mohaymen,Silentlea,,,,,Kevin B & Patricia M Fontenot,10000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12695,10,3514,"Brookdale Sales, Agent ",,Livingontulsatime,,CH,Colt,Livingontulsatime,Lord Nelson,Smart Dancer,,,,,"Keep the Ball Rollin: Clovis Crane, Agent",12000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12696,10,3515,"Warrendale Sales, Agent for Sandra Sexton and Silver Fern Farm",,Duke of Edinburgh,,B,Colt,Duke of Edinburgh,Midnight Storm,Soft Wind,,,,,5 O'Clock Somewhere,35000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12697,10,3516,"Ballysax Bloodstock, Agent XX ",,Vladislava,,DB/BR,Filly,Vladislava,Creative Cause,Sonorous,,,,,Vicente Stella Stables LLC,20000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12698,10,3517,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Straighttodasource,,DB/BR,Colt,Straighttodasource,Creative Cause,Source of Humor,,,,,H M A Equine,4500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12699,10,3518,"Bluegrass Thoroughbred Services Inc., Agent XVII ",,Speed Chess,,DB/BR,Filly,Speed Chess,Dialed In,Southern Dynamo,,,,,"Patrice Miller EQB Inc., Agent",40000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12702,10,3521,"Cross Keys Sales LLC, Agent II ",,The Cuban Missile,,B,Filly,The Cuban Missile,Exaggerator,Spicy Devine,,,,,Little Farm,6500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12704,10,3523,"Vinery Sales, Agent XXIII ",,Klimt Eastwood,,DB/BR,Colt,Klimt Eastwood,Klimt,Spirit of Wailea,,,,,"Jesse Hoppel, Agent",115000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12706,10,3525,Calumet Farm ,,Rimrock,,CH,Colt,Rimrock,Keen Ice,Spring Blossom,,,,,"Sam Scolamieri, Agent",5000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12708,10,3527,"Vinery Sales, Agent for Spendthrift Farm LLC ",,Grey Charmer,,GR/RO,Colt,Grey Charmer,Temple City,Starlight Magic,,,,,Katiuska Arenas,15000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12710,10,3529,"South Point Sales Agency, Agent LXV ",,Diamond Status,,CH,Filly,Diamond Status,Midshipman,Status,,,,,Carlos Martin for Sperando Racing,11000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12711,10,3530,"Hidden Brook, Agent XXXVII ",,Crazy Odds,,CH,Colt,Crazy Odds,Mucho Macho Man,Stella Rose,,,,,Grade I Investments,67000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12713,10,3532,"Mill Ridge Sales, Agent ",,Kimsfavoritestorm,,DB/BR,Filly,Kimsfavoritestorm,Unified,Stormy West,,,,,Ernie L. Locklear,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12714,10,3533,"Four Star Sales, Agent ",,Silent Beauty,,CH,Filly,Silent Beauty,Tale of the Cat,Street Beauty,,,,,Phil Lebherz,20000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12716,10,3535,"Hidden Brook, Agent XVIII ",,Lookinly,,B,Filly,Lookinly,Lookin At Lucky,Street Singer,,,,,Blue River Farm,3000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12717,10,3536,"Mill Ridge Sales, Agent ",,Fran's Strike,,B,Colt,Fran's Strike,Summer Front,Strikes a Chord,,,,,Gamboa,7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12718,10,3537,"Taylor Made Sales Agency, Agent for Town & Country Horse Farms, LLC",,Strike Upa Wish,,GR/RO,Filly,Strike Upa Wish,Mshawish,Strike Upa Song,,,,,William Nicks,2200.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12719,10,3538,Calumet Farm ,,Queen Macha,,GR/RO,Filly,Queen Macha,Keen Ice,Sue Me Baby,,,,,Pro Racing Stable LLC,16000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12720,10,3539,"Vinery Sales, Agent V ",,India Ink,,DB/BR,Colt,India Ink,Midnight Storm,Summer of Joy,,,,,Parrish Farms,34000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12721,10,3540,"Nicky Drion Thoroughbreds, Agent ",,An Army of Light,,B,Colt,An Army of Light,Carpe Diem,Sunnysammi,,,,,"Meah/Lloyd Bloodstock, Agent for Sean Perry",12000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12722,10,3541,"Brookdale Sales, Agent ",,Super Creative,,GR/RO,Colt,Super Creative,Creative Cause,Supernatural,,,,,Rodney L. Davis,3500.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12724,10,3543,Brandywine Farm (Jim & Pam Robinson) ,,Talkin to Freddie,,B,Colt,Talkin to Freddie,Midnight Storm,Sweet Disposition,,,,,Gary Broad / Walmac Farm,20000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12726,10,3545,"Brookdale Sales, Agent ",,Mekano,,B,Colt,Mekano,First Samurai,Sweetsoutherndame,,,,,Manuel Azpurua,11000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12727,10,3546,Hinkle Farms ,,Loco,,DB/BR,Colt,Loco,Creative Cause,Sweet Tess,,,,,"Taproot Bloodstock, Agent",40000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12729,10,3548,"Warrendale Sales, Agent L ",,Cos Cob,,GR/RO,Colt,Cos Cob,Race Day,Talmadge Hill,,,,,Hugo Chahin M,7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12730,10,3549,"Buckland Sales (Zach Madden), Agent XX ",,Wow Tapit,,GR/RO,Filly,Wow Tapit,Cairo Prince,Tapit Baby Tapit,,,,,Amador Sanchez,7000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12732,10,3551,"Four Star Sales, Agent ",,Tap Me a Text,,CH,Filly,Tap Me a Text,Connect,Tap Twenty One,,,,,Robert Creighton,10000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12734,10,3553,"South Point Sales Agency, Agent VII ",,Carpe Capella,,B,Colt,Carpe Capella,Carpe Diem,T'as d'Beaux Yeux,,,,,Rosa Antonio,5000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
12736,10,3555,"Buckland Sales (Zach Madden), Agent I ",,Great Falcon,,CH,Colt,Great Falcon,Keen Ice,Tempestra,,,,,Guillermo Berrios,15000.0,..\data\keeneland\sept-yearling\2020\lots.csv,2020
