,REVISED 7/16/18,,,,,,,,,,,,,,,,,,
,SPRING SALE OF TWO-YEAR-OLDS IN TRAINING,,,,,,,,,,,,,,,,,,
,"APRIL 24 - 27, 2018",,,,,,,,,,,,,,,,,,
Hip#,Name,Color,Sex,M,D,YR,Sire,Dam,Dam Sire,Consignor,State,Barn,Work Time,set,day,Buyer ,Price ,PS,Consignsort
81,,CH,C,5,1,16,Jimmy Creed,Bear West,Gone West,Q Bar J Thoroughbreds LLC,OH,14,10.4,24,4/16,"Triple Crown (Jin, Kyo Won)","45,000",,QBarJThoro
82,,DB/BR,F,4,28,16,Cairo Prince,Beastlie Moon,Three Wonders,"Cutting Edge Equine, Agent I",KY,G,11.0,73,4/16,Joel Politi,"52,000",,CuttingEdg
83,,DB/BR,C,4,29,16,Midnight Lute,Beautiful Greeley,Mr. Greeley,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IV",KY,5,22.2,146,4/16,"35,000",Not Sold,,WavertreeS
84,,DB/BR,C,2,9,16,Flat Out,Beautiful Stranger,Foxhound,"SBM Training and Sales, Agent IV",KY,15,10.4,23,4/16,"Lewis Mathews, Jr.","22,000",,SBMTrainin
85,,B,C,3,24,16,Mucho Macho Man,Becker County Miss,Langfuhr,"SGV Thoroughbreds LLC (Steven Venosa), Agent",OK,1,10.3,125,4/16,Alrashid USA Group,"105,000",,SbnGVThoro
86,,B,C,5,23,16,Majestic Warrior,Behaving,Rubiano,"Halcyon Hammock Farm, Agent III",KY,1,11.0,151,4/16,K.O.I.D. Thomas Gillespie,"32,000",,HalcyonHam
87,,B,C,4,11,16,Custom for Carlos,Bella Moneta,Max's Pal,"Off the Hook LLC, Agent IV",LA,13,10.0,,4/17,East Hickman Bloodstock,"50,000",,OfftheHook
88,Notte Oscura,B,C,3,18,16,Astrology,Bella Notte,Quick Cut,"Pick View LLC, Agent VII",MN,14,21.4,145,4/16,"Mike Ryan, Agent","160,000",,PickViewLL
89,,GR/RO,C,3,15,16,Mineshaft,Bella Silver,Silver Deputy,"Classic Bloodstock LLC, Agent III",NY,17,11.0,52,4/16,Withdrawn,Out,,ClassicBlo
90,Bellize,B,F,4,19,16,Noble Mission (GB),Belleski,Polish Numbers,"de Meric Sales, Agent XL",KY,12,10.3,28,4/16,Lane's End Bloodstock,"160,000",,deMericSal
91,,CH,C,4,5,16,Goldencents,Bellezza Rosso,Tapit,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXV",KY,5,22.2,121,4/16,"47,000",Not Sold,,WavertreeS
92,,CH,F,5,9,16,Fed Biz,Be Smart,Smarty Jones,"Eddie Woods, Agent LX",KY,11,21.2,62,4/16,Reddam Racing LLC,"200,000",,WoodsAgent
93,,DB/BR,C,3,7,16,Congrats,Best of the Sea,Lord of the Sea,Thoroughbred Champions Training Center LLC,KY,20,22.4,27,4/16,Cristian D. Pena,"22,000",,Thoroughbr
94,,B,C,3,30,16,Into Mischief,Better Than Most,Elusive Quality,"Benchmark Training Center, Inc., Agent I",KY,9,10.2,49,4/16,"540,000",Not Sold,,BenchmarkT
95,,DB/BR,F,4,30,16,Quality Road,Betty Brite,Medaglia d'Oro,"Eddie Woods, Agent IX",KY,11,22.0,41,4/16,Frank Fletcher Racing,"800,000",,WoodsAgent
96,,B,C,3,3,16,Shackleford,Be With Me,Corinthian,"Robert Brewer, Agent",KY,A,10.2,59,4/16,"Oracle Bloodstock,Agent for Hill,Corms & Flying P","170,000",,BrewerAgen
97,,B,C,4,17,16,Twirling Candy,Beyond Price,King of Kings (IRE),"Richardson Bloodstock, Agent",KY,3,10.3,122,4/16,"12,000",Not Sold,,Richardson
98,,DB/BR,C,4,25,16,The Factor,Beyond the Reach,Sahm,"Eddie Woods, Agent LXIII",OK,11,21.2,105,4/16,Ballybrit Stable LLC / Alan Lustig,"4,000",,WoodsAgent
99,,GR/RO,C,3,24,16,Cairo Prince,Big Happy Blur,Dixieland Band,"Randy Miles, Agent IX",KY,18,10.2,46,4/16,"Manganaro Bloodstock, Inc.","150,000",,MilesAgent
100,,DB/BR,F,4,18,16,Verrazano,Big Miss,Chief Honcho,"Brick City Thoroughbreds, Agent",KY,3,10.2,153,4/16,Tom Lamont,"65,000",,BrickCityT
101,,B,C,4,18,16,Lookin At Lucky,Bikini Beauty,Bernardini,"Niall Brennan Stables, Agent V",KY,8,21.4,5,4/16,Head of Plains & Long Lake Stables,"240,000",,BrennanSta
102,,CH,C,5,3,16,Verrazano,Binavicar,Vicar,Brick City Thoroughbreds,NY,3,10.3,18,4/16,Withdrawn,Out,,BrickCityT
103,,DB/BR,F,4,28,16,Uncle Mo,Bisbee's Prospect,Smart Strike,"de Meric Sales, Agent XI",KY,12,out,,,Withdrawn,Out,,deMericSal
104,,CH,F,4,14,16,Jimmy Creed,Black Power,Empire Maker,"Price Thoroughbreds LLC, Agent",IN,G,10.3,150,4/16,Nice Guys Stables,"150,000",,PriceThoro
105,,DB/BR,F,3,14,16,Street Sense,Blade's Edge,Corinthian,"de Meric Sales, Agent IX",KY,12,out,,,Withdrawn,Out,,deMericSal
106,,DB/BR,C,2,8,16,Revolutionary,Blading Wild Cat,Offlee Wild,"Eisaman Equine, Agent",KY,7,out,,,Withdrawn,Out,,EisamanEqu
107,,B,C,4,19,16,Colonel John,Bless,Mr. Prospector,"de Meric Sales, Agent VI",FL,12,10.4,131,4/16,Calumet Farm,"65,000",,deMericSal
108,,B,C,3,4,16,Central Banker,Blond Warrior,A. P. Warrior,"Niall Brennan Stables, Agent XXXVIII",NY,8,10.4,132,4/16,"14,000",Not Sold,,BrennanSta
109,,CH,C,2,7,16,Violence,Blue Bird Lady,Congrats,"SBM Training and Sales, Agent IX",KY,15,22.3,98,4/16,"95,000",Not Sold,,SBMTrainin
110,,DB/BR,F,2,17,16,Poseidon's Warrior,Blue Carnation,El Prado (IRE),Sun Thoroughbred Stable Corp.,FL,20,out,,,Withdrawn,Out,,SunThoroug
111,,CH,C,1,11,16,Speightstown,Blueeyesintherein,Magna Graduate,"Tom McCrocklin, Agent IV",KY,19,out,,,Withdrawn,Out,,McCrocklin
112,Fiddler's Cat,CH,C,3,17,16,Kitten's Joy,Blue Grass Music,Bluegrass Cat,"Cary Frommer LLC, Agent IV",KY,9,10.3,128,4/16,Bloom Racing Stable,"50,000",PS,FrommerLLC
113,Traffic Trouble,GR/RO,C,4,15,16,Cross Traffic,Blue Moon (FR),Lomitas (GB),"King's Equine, Agent IV",KY,2,out,,,Withdrawn,Out,,KingsEquin
114,Ladyofdragonstone,GR/RO,F,4,10,16,Graydar,Blues in the Grass,Bluegrass Cat,"Hemingway Racing and Training Stables LLC, Agent XV",KY,16,10.4,106,4/16,"22,000",Not Sold,,HemingwayR
115,,DB/BR,F,3,27,16,Orb,Blush Again,Kitten's Joy,Hoby & Layna Kight,KY,6,21.2,90,4/16,Richard L. Davis,"135,000",,Kight
116,,CH,C,5,25,16,Goldencents,Bojangle Now,Tiznow,"Best A Luck Farm LLC, Agent",NY,3,10.4,71,4/16,Brian Lynch,"30,000",,BestALuckF
117,,B,F,3,16,16,Flashback,Bon Caro,Bon Point (GB),"Envision Equine, Agent IX",FL,D,22.0,110,4/16,Raymond Rech,"35,000",,EnvisionEq
118,,CH,C,4,3,16,Hard Spun,Bonita Donita,Fusaichi Pegasus,Desert Thoroughbreds LLC,KY,16,10.3,70,4/16,"55,000",Not Sold,,DesertThor
119,,B,C,2,17,16,Creative Cause,Bonnie Rose,Hansel,"Eisaman Equine, Agent",VA,7,10.4,100,4/16,"95,000",Not Sold,,EisamanEqu
120,,B,C,4,22,16,Yes It's True,Boot Scoot N Run,Storm Boot,"Grassroots Training & Sales LLC, Agent I",KY,J,10.4,114,4/16,Charles L. Biggs,"57,000",,Grassroots
121,,CH,F,2,3,16,New Year's Day,Born Special,Pulpit,Grassroots Training & Sales LLC,KY,J,10.1,142,4/16,David R. Hughes,"65,000",,Grassroots
122,,B,F,2,27,16,Brethren,Boston Maggie,Boston Harbor,"de Meric Sales, Agent I",FL,12,10.3,48,4/16,Camarero Race Track,"10,000",,deMericSal
123,,B,F,3,17,16,Tapizar,Boston Symphony,Boston Harbor,"Ocala Stud, Agent",KY,4,out,,,Withdrawn,Out,,OcalaStudA
124,Jazz Music,B,C,5,13,16,Maclean's Music,Bouvet,Touch Gold,"Parrish Farms, Agent",KY,10,10.2,109,4/16,Withdrawn,Out,,ParrishFar
125,Treasure Bay,DB/BR,C,5,8,16,Treasure Beach (GB),Brahms Affair,Brahms,"Louie Rogers Thoroughbreds LLC, Agent",FL,C,11.0,43,4/16,"17,000",Not Sold,,RogersThor
126,,B,C,4,28,16,Curlin,Bridge Game,Giant's Causeway,"SBM Training and Sales, Agent IX",KY,15,out,,,Withdrawn,Out,,SBMTrainin
127,,B,F,3,22,16,Quality Road,Bridles Prayer,Unbridled's Song,"King's Equine, Agent IX",KY,2,10.0,102,4/16,Susan Moulton,"310,000",,KingsEquin
128,,B,C,2,11,16,Declaration of War,Brief Look (GB),Sadler's Wells,"de Meric Sales, Agent XV",KY,12,11.0,118,4/16,Pete Mattson,"17,000",,deMericSal
129,,B,F,3,19,16,Violence,Bright Magic,Prized,"Shadybrook Farm, Inc., Agent II",KY,F,11.1,126,4/16,James R. Hood,"25,000",PS,Shadybrook
130,,DB/BR,C,4,6,16,Fed Biz,Broadway Hennessey,Hennessy,"Bobby Dodd, Agent VI",NY,10,10.3,29,4/16,Withdrawn,Out,,DoddAgentV
131,,DB/BR,F,3,30,16,Temple City,Brown Is Beige,Popular,"Off the Hook LLC, Agent IV",LA,13,10.4,82,4/16,"Golden Rock, Agent","5,000",PS,OfftheHook
132,,B,C,3,26,16,Sky Mesa,Brushed Gold,Touch Gold,Classic Equine LLC,KY,20,10.2,61,4/16,S.R.O.A. (K.O.I.D.),"20,000",,ClassicEqu
133,,DB/BR,C,2,3,16,Soldat,B's Stormy Girl,Van Nistelrooy,"McKathan Bros., Agent VI",FL,6,10.4,135,4/16,Luis A Luna,"1,000",,McKathanBr
134,,CH,C,4,7,16,Speightstown,Bullet Sister,Zensational,"McKathan Bros., Agent I",KY,6,10.3,94,4/16,Withdrawn,Out,,McKathanBr
135,,DB/BR,F,2,3,16,With Distinction,Bull Ride,Holy Bull,Harris Training Center LLC,NY,13,out,,,Withdrawn,Out,,HarrisTrai
136,,CH,C,3,27,16,Central Banker,Bunhead,Hard Spun,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXIII",NY,5,11.0,69,4/16,R & H Stables,"50,000",,WavertreeS
137,,CH,F,4,20,16,Discreet Cat,Butterfly Princess,Wavering Monarch,"Cary Frommer LLC, Agent VII",IA,9,10.4,164,4/16,"Kempton Bloodstock, Agent","50,000",,FrommerLLC
138,Captured Beauty,GR/RO,F,3,16,16,Uncaptured,Bwana Beauty,Bwana Charlie,"Vargas Sales, Agent I",KY,D,out,,,Withdrawn,Out,,VargasSale
139,Birthday Letter,B,F,3,26,16,Atreides,By the Shore,Include,Rivera Training and Sales,FL,20,22.1,130,4/16,Manuel Fernandez Pastrana,"5,500",PS,RiveraTrai
140,,GR/RO,C,4,5,16,The Factor,Cabaret Starlet,Tale of the Cat,"Ocala Stud, Agent",KY,4,22.1,80,4/16,Kenji Ryotokuji Holdings,"100,000",,OcalaStudA
141,,B,F,1,29,16,Treasure Beach (GB),Cajun Dawn,Awesome Again,"Hemingway Racing and Training Stables LLC, Agent II",FL,16,10.3,21,4/16,"95,000",Not Sold,,HemingwayR
142,,DB/BR,C,5,5,16,Shakin It Up,Cajun Mistress,Salt Lake,"Harris Training Center LLC, Agent III",KY,13,22.2,16,4/16,"Triple Crown (An, Hee Chul)","30,000",,HarrisTrai
